epoch,series,value,evalSet,evalRows
3.5997600159989336,eval_bleu_dv-en,8.5133,valid-small,2000
3.5997600159989336,eval_bleu_en-dv,5.8444,valid-small,2000
3.5997600159989336,eval_chrf,34.0691,valid-small,2000
3.5997600159989336,eval_chrf_dv-en,30.5745,valid-small,2000
3.5997600159989336,eval_chrf_en-dv,36.7878,valid-small,2000
3.5997600159989336,eval_loss,1.7495077848434448,valid-small,2000
3.5997600159989336,eval_runtime,73.8083,valid-small,2000
3.5997600159989336,eval_samples_per_second,27.097,valid-small,2000
3.5997600159989336,eval_steps_per_second,0.854,valid-small,2000
3.633091127258183,eval_bleu,7.2976,valid-small,2000
3.633091127258183,eval_bleu_dv-en,8.2392,valid-small,2000
3.633091127258183,eval_bleu_en-dv,5.8558,valid-small,2000
3.633091127258183,eval_chrf,34.0846,valid-small,2000
3.633091127258183,eval_chrf_dv-en,30.5468,valid-small,2000
3.633091127258183,eval_chrf_en-dv,36.8651,valid-small,2000
3.633091127258183,eval_loss,1.74774968624115,valid-small,2000
3.633091127258183,eval_runtime,76.0511,valid-small,2000
3.633091127258183,eval_samples_per_second,26.298,valid-small,2000
3.633091127258183,eval_steps_per_second,0.828,valid-small,2000
3.6664222385174323,eval_bleu,7.3615,valid-small,2000
3.6664222385174323,eval_bleu_dv-en,8.4628,valid-small,2000
3.6664222385174323,eval_bleu_en-dv,5.8072,valid-small,2000
3.6664222385174323,eval_chrf,34.0167,valid-small,2000
3.6664222385174323,eval_chrf_dv-en,30.5463,valid-small,2000
3.6664222385174323,eval_chrf_en-dv,36.7268,valid-small,2000
3.6664222385174323,eval_loss,1.748327374458313,valid-small,2000
3.6664222385174323,eval_runtime,71.8714,valid-small,2000
3.6664222385174323,eval_samples_per_second,27.827,valid-small,2000
3.6664222385174323,eval_steps_per_second,0.877,valid-small,2000
3.6997533497766817,eval_bleu,7.2264,valid-small,2000
3.6997533497766817,eval_bleu_dv-en,8.2593,valid-small,2000
3.6997533497766817,eval_bleu_en-dv,5.7891,valid-small,2000
3.6997533497766817,eval_chrf,34.1067,valid-small,2000
3.6997533497766817,eval_chrf_dv-en,30.6227,valid-small,2000
3.6997533497766817,eval_chrf_en-dv,36.8245,valid-small,2000
3.6997533497766817,eval_loss,1.7475337982177734,valid-small,2000
3.6997533497766817,eval_runtime,72.7243,valid-small,2000
3.6997533497766817,eval_samples_per_second,27.501,valid-small,2000
3.6997533497766817,eval_steps_per_second,0.866,valid-small,2000
3.733084461035931,eval_bleu,7.3866,valid-small,2000
3.733084461035931,eval_bleu_dv-en,8.4521,valid-small,2000
3.733084461035931,eval_bleu_en-dv,5.8931,valid-small,2000
3.733084461035931,eval_chrf,34.1592,valid-small,2000
3.733084461035931,eval_chrf_dv-en,30.6377,valid-small,2000
3.733084461035931,eval_chrf_en-dv,36.9166,valid-small,2000
3.733084461035931,eval_loss,1.7466402053833008,valid-small,2000
3.733084461035931,eval_runtime,74.7647,valid-small,2000
3.733084461035931,eval_samples_per_second,26.751,valid-small,2000
3.733084461035931,eval_steps_per_second,0.843,valid-small,2000
3.7664155722951804,eval_bleu,7.3537,valid-small,2000
3.7664155722951804,eval_bleu_dv-en,8.4595,valid-small,2000
3.7664155722951804,eval_bleu_en-dv,5.7767,valid-small,2000
3.7664155722951804,eval_chrf,34.159,valid-small,2000
3.7664155722951804,eval_chrf_dv-en,30.6779,valid-small,2000
3.7664155722951804,eval_chrf_en-dv,36.8828,valid-small,2000
3.7664155722951804,eval_loss,1.74649178981781,valid-small,2000
3.7664155722951804,eval_runtime,73.8525,valid-small,2000
3.7664155722951804,eval_samples_per_second,27.081,valid-small,2000
3.7664155722951804,eval_steps_per_second,0.853,valid-small,2000
3.79974668355443,eval_bleu,7.3018,valid-small,2000
3.79974668355443,eval_bleu_dv-en,8.4056,valid-small,2000
3.79974668355443,eval_bleu_en-dv,5.745,valid-small,2000
3.79974668355443,eval_chrf,34.184,valid-small,2000
3.79974668355443,eval_chrf_dv-en,30.7542,valid-small,2000
3.79974668355443,eval_chrf_en-dv,36.8537,valid-small,2000
3.79974668355443,eval_loss,1.745284080505371,valid-small,2000
3.79974668355443,eval_runtime,76.3907,valid-small,2000
3.79974668355443,eval_samples_per_second,26.181,valid-small,2000
3.79974668355443,eval_steps_per_second,0.825,valid-small,2000
3.833077794813679,eval_bleu,7.4381,valid-small,2000
3.833077794813679,eval_bleu_dv-en,8.526,valid-small,2000
