epoch,series,value
3.91,learning_rate,2.3415105659622693e-06
3.91,learning_rate,2.1748550096660223e-06
3.92,learning_rate,2.0081994533697758e-06
3.93,learning_rate,1.8415438970735283e-06
3.93,learning_rate,1.6748883407772816e-06
3.94,learning_rate,1.5082327844810346e-06
3.95,learning_rate,1.3415772281847876e-06
3.95,learning_rate,1.1749216718885409e-06
3.96,learning_rate,1.0082661155922939e-06
3.97,learning_rate,8.416105592960469e-07
3.97,learning_rate,6.749550029998e-07
3.98,learning_rate,5.082994467035532e-07
3.99,learning_rate,3.416438904073062e-07
3.99,learning_rate,1.7498833411105928e-07
4.0,learning_rate,8.332777814812346e-09
